id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R3,0.25,6.97841,0.0129745,0.189333,0.00121106,PCR,LF
20-06-24_R3,0.308081,7.19247,0.172286,0.192833,0.00240139,PCR,LF
20-06-24_R3,0.366162,7.1478,0.0,0.166,0.00219089,PCR,LF
20-06-24_R3,0.424242,7.19942,9.50147e-16,0.172833,0.00231661,PCR,LF
20-06-24_R3,0.482323,6.945,0.0,0.152167,0.000983192,PCR,LF
20-06-24_R3,0.540404,6.55104,0.192835,0.168167,0.00204124,PCR,LF
20-06-24_R3,0.598485,7.03431,0.306186,0.173,0.00244949,PCR,LF
20-06-24_R3,0.656566,7.36808,0.221085,0.160333,0.0018619,PCR,LF
20-06-24_R3,0.714646,7.80466,0.234184,0.205167,0.00348807,PCR,LF
20-06-24_R3,0.772727,8.25415,0.0,0.217167,0.00248328,PCR,LF
20-06-24_R3,0.830808,7.22045,0.254718,0.1985,0.00997497,PCR,LF
20-06-24_R3,0.888889,6.97003,0.0,0.150667,0.00196638,PCR,LF
20-06-24_R3,0.94697,5.88079,0.173106,0.126167,0.00240139,PCR,LF
20-06-24_R3,1.00505,7.3301,9.50147e-16,0.149,0.00352136,PCR,LF
20-06-24_R3,1.06313,7.81296,0.187149,0.176667,0.00206559,PCR,LF
20-06-24_R3,1.12121,8.37727,0.264058,0.2045,0.00083666,PCR,LF
20-06-24_R3,1.17929,9.0962,0.0,0.225333,0.00377712,PCR,LF
20-06-24_R3,1.23737,7.72088,0.231672,0.1965,0.00308221,PCR,LF
20-06-24_R3,1.29545,7.94519,0.183153,0.191833,0.00312517,PCR,LF
20-06-24_R3,1.35354,7.92107,0.344786,0.180667,0.00175119,PCR,LF
20-06-24_R3,1.41162,7.51705,0.0,0.159333,0.00301109,PCR,LF
20-06-24_R3,1.4697,7.49006,9.50147e-16,0.151667,0.0010328,PCR,LF
20-06-24_R3,1.52778,7.21073,0.216366,0.144,0.00268328,PCR,LF
20-06-24_R3,1.58586,7.04567,9.50147e-16,0.135333,0.00196638,PCR,LF
20-06-24_R3,1.64394,0.781636,0.0517994,0.02135,0.000784219,PCR,LF
20-06-24_R3,1.70202,2.81232,0.0673655,0.0586333,0.00156674,PCR,LF
20-06-24_R3,1.7601,6.86472,0.202069,0.130167,0.00325064,PCR,LF
20-06-24_R3,1.81818,6.97003,0.0,0.138333,0.00280476,PCR,LF
20-06-24_R3,1.87626,7.01359,0.168002,0.143333,0.00417931,PCR,LF
20-06-24_R3,1.93434,3.6395,0.0838971,0.07165,0.00184255,PCR,LF
20-06-24_R3,1.99242,3.571,0.11256,0.0697667,0.000864099,PCR,LF
20-06-24_R3,2.05051,3.48992,0.0835958,0.0691667,0.00140238,PCR,LF
20-06-24_R3,2.10859,0.925237,0.0221627,0.0269,0.00201196,PCR,LF
20-06-24_R3,2.16667,2.06391,0.0494385,0.0488333,0.00303886,PCR,LF
20-06-24_R3,2.22475,2.12446,0.0625353,0.0440333,0.00210016,PCR,LF
20-06-24_R3,2.28283,1.32724,0.122205,0.0298167,0.00228859,PCR,LF
20-06-24_R3,2.34091,1.95452,0.0954219,0.0424167,0.00132878,PCR,LF
20-06-24_R3,2.39899,0.947691,0.0218461,0.021,0.000219089,PCR,LF
20-06-24_R3,2.45707,0.364074,0.0304679,0.0168333,0.00162686,PCR,LF
20-06-24_R3,2.51515,0.719339,0.0585508,0.01505,0.000472229,PCR,LF
20-06-24_R3,2.57323,0.761366,0.183885,0.0122667,0.000850098,PCR,LF
20-06-24_R3,2.63131,0.798692,0.0529297,0.0158833,0.00106849,PCR,LF
20-06-24_R3,2.68939,0.272728,0.0186227,0.00806167,0.000189675,PCR,LF
20-06-24_R3,2.74747,0.33104,0.0320763,0.00899,0.000582203,PCR,LF
20-06-24_R3,2.80556,0.714481,0.0308199,0.0131167,0.000213698,PCR,LF
20-06-24_R3,2.86364,1.25993,0.0548417,0.0273333,0.000694742,PCR,LF
20-06-24_R3,2.92172,0.494113,0.0731248,0.0135667,0.00114833,PCR,LF
